taxon,lfc_CropCotton ,lfc_CropSoybean,p_CropCotton ,p_CropSoybean,q_CropCotton ,q_CropSoybean,diff_CropCotton ,diff_CropSoybean,Kingdom,Phylum,Class,Order,Family,Genus,Label
BOTU_102,0.106059574,0.17844205,0.508960497,0.256402343,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,BOTU_102_Delftia
BOTU_313,-1.006517655,-1.574586069,0.003703914,3.52197E-06,1,0.008223809,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,BOTU_313_Aquabacterium
BOTU_3993,0.391289076,-0.212785188,0.128567139,0.398575622,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_3993_Comamonadaceae
BOTU_3036,0.046913025,0.102427903,0.815196499,0.602207823,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_3036_Comamonadaceae
BOTU_453,0.388949188,0.667386042,0.03314935,0.0001889,1,0.43900365,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_453_Comamonadaceae
BOTU_2658,0.395209537,0.397181101,0.00559697,0.004458668,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_2658_Comamonadaceae
BOTU_964,0.090461294,0.533764471,0.655873106,0.007239679,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_964_Comamonadaceae
BOTU_414,-0.269001771,0.184998344,0.315846478,0.481068302,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_414_Comamonadaceae
BOTU_1861,-0.286921464,-0.087530187,0.1982095,0.688477088,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_1861_Comamonadaceae
BOTU_7088,0.085800404,0.000341551,0.691378315,0.998712114,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_7088_Comamonadaceae
BOTU_3702,0.364627434,0.1377861,0.118725157,0.547057764,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_3702_Comamonadaceae
BOTU_2903,-0.101538954,-0.300381542,0.675766041,0.206303342,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_2903_Comamonadaceae
BOTU_10,1.009291899,1.178688868,2.20322E-11,1.44118E-15,5.22384E-08,3.40695E-12,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_10_Comamonadaceae
BOTU_1099,-0.068038099,-0.039470599,0.833196312,0.900684761,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,BOTU_1099_Comamonas
BOTU_821,0.26475359,0.522237259,0.249684097,0.020382015,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,BOTU_821_Schlegelella
BOTU_4990,0.16154401,0.107758634,0.404676301,0.570208354,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,unidentified,BOTU_4990_Comamonadaceae
BOTU_7275,0.878603148,1.206477054,1.0074E-07,8.08514E-14,0.00023815,1.90567E-10,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_7275_Burkholderiales
BOTU_7706,0.76063888,1.331310036,0.011980268,7.04973E-06,1,0.016454065,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_7706_Burkholderiales
BOTU_5041,1.113011049,1.533111634,2.12549E-10,4.01575E-19,5.0374E-07,9.49724E-16,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,BOTU_5041_Noviherbaspirillum
BOTU_7481,0.533381797,0.921523919,0.058241876,0.000831267,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_7481_Burkholderiales
BOTU_330,0.786548064,1.025515781,1.15079E-05,5.16585E-09,0.027135712,1.21242E-05,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_330_Oxalobacteraceae
BOTU_8305,0.689677504,1.477400231,0.012831097,5.18534E-08,1,0.000121493,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_8305_Burkholderiales
BOTU_8655,0.462051935,0.863891299,0.010250347,9.45783E-07,1,0.002212186,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_8655_Oxalobacteraceae
BOTU_4862,0.065005901,0.085961927,0.632925677,0.518891355,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_4862_Burkholderiales
BOTU_390,0.950715332,1.35890117,5.78248E-08,2.36504E-15,0.000136813,5.58621E-12,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,BOTU_390_Noviherbaspirillum
BOTU_50,0.865954035,1.133079708,6.62983E-09,9.10036E-15,1.57061E-05,2.14769E-11,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_50_Oxalobacteraceae
BOTU_630,1.135808305,1.362523804,3.91146E-06,1.54919E-08,0.00923887,3.6344E-05,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Paucimonas,BOTU_630_Paucimonas
BOTU_1565,0.799008218,0.75696143,0.000859904,0.001259776,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_1565_Oxalobacteraceae
BOTU_452,0.094904865,-0.138308178,0.648548753,0.497495111,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,unidentified,BOTU_452_Burkholderiaceae
BOTU_4271,0.795418487,0.071544861,0.003672353,0.789550649,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,unidentified,BOTU_4271_Oxalobacteraceae
BOTU_1585,0.42736099,0.954243266,0.127150583,0.000503102,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,BOTU_1585_Duganella
BOTU_3531,0.341189666,-0.007637612,0.066830579,0.966574241,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_3531_Burkholderiales
BOTU_71,0.115989632,0.087954101,0.448446774,0.557160224,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_71_Burkholderia-Caballeronia-Paraburkholderia
BOTU_57,-0.125559398,-0.203657006,0.359762666,0.129230159,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,BOTU_57_mle1-7
BOTU_680,-0.065456329,-0.232435492,0.801264639,0.361256235,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,BOTU_680_mle1-7
BOTU_523,1.595952556,2.073141452,7.76394E-16,1.12068E-26,1.84316E-12,2.65489E-23,TRUE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,BOTU_523_Cupriavidus
BOTU_773,-0.297629012,0.596541692,0.227508377,0.013488089,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,BOTU_773_Cupriavidus
BOTU_1058,0.087852667,-0.093292019,0.780625479,0.762584661,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_1058_Burkholderiales
BOTU_3482,0.39078035,0.133221962,0.04289564,0.480799253,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_3482_Burkholderiales
BOTU_471,1.566035557,0.807605217,1.41684E-05,0.022207554,0.033380752,1,TRUE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,unidentified,BOTU_471_Rhodocyclaceae
BOTU_758,0.164879745,-0.047700677,0.331910296,0.774338701,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,unidentified,BOTU_758_Rhodocyclaceae
BOTU_2294,-0.093445854,0.034042364,0.716563408,0.892537053,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Georgfuchsia,BOTU_2294_Georgfuchsia
BOTU_1237,0.164879745,-0.127154379,0.53114922,0.621793552,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_1237_Ellin6067
BOTU_3629,0.19175704,-0.239048074,0.508215053,0.399527175,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_3629_Ellin6067
BOTU_8610,-0.242248051,-0.472268114,0.315858018,0.045797057,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_8610_Ellin6067
BOTU_144,0.040574799,-0.320066985,0.778343589,0.023342604,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_144_Ellin6067
BOTU_8554,-0.205901728,-0.567788169,0.515499954,0.066997763,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,BOTU_8554_Ellin6067
BOTU_475,0.286471036,-0.12790212,0.340331072,0.6636751,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,BOTU_475_Uliginosibacterium
BOTU_1625,0.028145437,0.135298712,0.893186088,0.509713544,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_1625_Burkholderiales
BOTU_986,0.561814134,-0.014014577,0.00736148,0.945559044,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,BOTU_986_mle1-7
BOTU_83,0.275648296,0.383930281,0.038825886,0.003292761,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_83_Burkholderia-Caballeronia-Paraburkholderia
BOTU_2667,0.531017451,1.06507056,0.010554883,1.6183E-07,1,0.000379006,FALSE,TRUE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,BOTU_2667_Burkholderia-Caballeronia-Paraburkholderia
BOTU_525,-0.364444346,-0.278972591,0.181917476,0.296621074,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_525_SC-I-84
BOTU_574,0.128402703,-0.230017932,0.577326172,0.307870446,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_574_SC-I-84
BOTU_228,-0.008051437,-0.150384963,0.964419816,0.394768879,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_228_SC-I-84
BOTU_2467,-0.32309542,-0.252861377,0.211686365,0.318091102,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_2467_SC-I-84
BOTU_335,-0.308211772,-0.33261447,0.192580085,0.150928683,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_335_SC-I-84
BOTU_3694,0.308912861,-0.103999567,0.270209646,0.7045743,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_3694_SC-I-84
BOTU_123,-0.071893135,-0.207243772,0.663793961,0.200611487,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_123_SC-I-84
BOTU_619,-0.06868089,-0.529993788,0.812129769,0.061009686,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_619_SC-I-84
BOTU_7123,0.029274757,-0.12346665,0.915733736,0.648523381,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_7123_SC-I-84
BOTU_775,0.237471354,0.156405831,0.382170853,0.556590964,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_775_SC-I-84
BOTU_263,-0.169827696,-0.378664015,0.354760489,0.035077222,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_263_SC-I-84
BOTU_2629,0.182886101,0.006156719,0.453633288,0.979442947,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_2629_SC-I-84
BOTU_5700,-0.270346777,-0.31250679,0.280236251,0.202339309,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_5700_SC-I-84
BOTU_111,-0.027665764,-0.250870469,0.869375533,0.127734338,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,BOTU_111_SC-I-84
BOTU_6446,-0.144320017,-0.05213045,0.535211958,0.819044774,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_6446_Burkholderiales
BOTU_578,-0.076163877,-0.295917743,0.784895436,0.278722727,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_578_A21b
BOTU_1151,-0.024160395,-0.016264941,0.932434294,0.953510132,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_1151_A21b
BOTU_1722,0.028145437,0.011451362,0.912272376,0.963481182,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_1722_A21b
BOTU_479,0.007815942,-0.29380511,0.97437628,0.21747556,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_479_A21b
BOTU_1446,0.191032661,0.080710812,0.233458789,0.607142112,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_1446_A21b
BOTU_910,0.243338492,0.372158769,0.316922342,0.117959767,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,A21b,BOTU_910_A21b
BOTU_8226,0.075519896,-0.206501511,0.691936659,0.268459441,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_8226_MND1
BOTU_76,0.003600539,-0.174964658,0.980240981,0.218994539,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_76_MND1
BOTU_1170,0.00642799,0.0340668,0.982513109,0.905551306,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_1170_MND1
BOTU_2637,0.044158405,-0.097027794,0.863038568,0.698634187,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_2637_MND1
BOTU_855,-0.287326405,-0.485659153,0.246456275,0.045394353,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_855_MND1
BOTU_5349,0.409936807,-0.104031273,0.08730217,0.657624225,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_5349_MND1
BOTU_155,-0.004024532,-0.139763022,0.983473894,0.462501948,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,BOTU_155_MND1
BOTU_2338,-0.061020859,0.070208582,0.720486835,0.674134777,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_2338_Burkholderiales
BOTU_2402,0.164879745,-0.047700677,0.397709813,0.802660998,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,unidentified,unidentified,BOTU_2402_Burkholderiales
BOTU_8116,0.029274757,-0.28110276,0.921713903,0.335102606,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Verticiella,BOTU_8116_Verticiella
BOTU_3688,0.044720124,0.348838442,0.876548756,0.215811309,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,unidentified,BOTU_3688_Alcaligenaceae
BOTU_348,-0.084737575,0.385643016,0.719208373,0.094680771,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,BOTU_348_Bordetella
BOTU_29,0.343617184,0.416455497,0.014718797,0.002533057,1,1,FALSE,FALSE,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,BOTU_29_Massilia
