Code,Crop,Time_Point,Replicate,Water_Imbibed,shannon,invsimpson,simpson,richness,even
C04_20,Cotton,0,4,0.0087,6.626464586,215.9390134,0.995369063,3371,0.81576922
C05_23,Cotton,0,5,0.0075,6.64282171,211.0896012,0.995262675,3435,0.81589383
C06_26,Cotton,0,6,0.0046,6.679131237,216.3135142,0.99537708,3629,0.814854896
C61_30,Cotton,6,1,0.058,6.454740875,170.0363872,0.994118906,2767,0.81442501
C62_33,Cotton,6,2,0.044,6.484032217,172.3527945,0.994197947,3377,0.798059976
C63_36,Cotton,6,3,0.0569,6.517958468,173.4148874,0.994233482,3804,0.790648949
C64_39,Cotton,6,4,0.0841,6.476069406,167.1313828,0.994016683,3204,0.802272647
C65_42,Cotton,6,5,0.0535,6.569722189,197.0118615,0.994924163,3250,0.812439879
C66_45,Cotton,6,6,0.0029,6.482144779,172.9639397,0.994218448,3009,0.809320881
C121_49,Cotton,12,1,0.0651,5.944567725,71.55606879,0.986024945,2779,0.749644748
C122_52,Cotton,12,2,0.0527,6.187754847,96.43938571,0.989630793,3193,0.766882203
C123_55,Cotton,12,3,0.0675,6.129460077,81.26645891,0.9876948,2859,0.770204209
C124_58,Cotton,12,4,0.0545,6.028522987,75.49725694,0.986754486,2950,0.754550019
C125_61,Cotton,12,5,0.0623,6.148179467,98.94468001,0.989893342,3018,0.76733789
C126_64,Cotton,12,6,0.0021,6.347331759,150.0570832,0.993335869,2946,0.79458813
C181_68,Cotton,18,1,0.0034,6.301391773,132.3622975,0.992444979,3266,0.778784028
C182_72,Cotton,18,2,0.0632,6.000204597,83.90928977,0.988082368,2969,0.750402607
C183_76,Cotton,18,3,0.0514,5.981284335,82.44127035,0.987870153,2636,0.759333597
C184_80,Cotton,18,4,0.0577,5.578565606,50.73173796,0.980288473,2043,0.731886358
C185_84,Cotton,18,5,0.0554,6.06465526,87.82731615,0.988614021,3113,0.753996925
SB01_12,Soybean,0,1,0.1664,6.644864482,216.8611034,0.995388754,3203,0.823215263
SB02_15,Soybean,0,2,0.0942,6.615662115,211.3257259,0.995267968,3055,0.824429356
SB03_18,Soybean,0,3,0.1248,6.693987072,230.4543853,0.995660746,3595,0.817606252
SB04_21,Soybean,0,4,0.115,6.647501683,234.8034321,0.995741118,3253,0.821964638
SB05_24,Soybean,0,5,0.0993,6.605748905,198.5726473,0.99496406,3187,0.818877372
SB06_27,Soybean,0,6,0.1005,6.640696413,215.2649379,0.995354562,3190,0.823113613
SB61_31,Soybean,6,1,0.2308,6.044228592,89.13911874,0.988781581,2371,0.777786181
SB62_34,Soybean,6,2,0.2603,6.437588979,154.2162417,0.993515599,3248,0.79616033
SB63_37,Soybean,6,3,0.2111,6.194632027,83.11680967,0.987968739,2976,0.774490156
SB64_40,Soybean,6,4,0.2808,6.117393109,87.20256759,0.988532448,3006,0.763875357
SB65_43,Soybean,6,5,0.2712,5.439797822,29.48338263,0.966082589,2809,0.685062703
SB66_46,Soybean,6,6,0.2887,6.195815665,108.2239444,0.990759901,2680,0.784919122
SB121_50,Soybean,12,1,0.2822,4.393340652,12.3958686,0.919327961,2508,0.561288544
SB122_53,Soybean,12,2,0.2557,5.630928685,52.97930909,0.981124707,2403,0.72335385
SB123_56,Soybean,12,3,0.2982,5.579522913,48.59842238,0.9794232,2752,0.704477816
SB124_59,Soybean,12,4,0.2489,5.406651319,34.08685325,0.970663176,2946,0.676829434
SB125_62,Soybean,12,5,0.2573,5.863941137,63.33020309,0.984209746,3165,0.727544396
SB126_65,Soybean,12,6,0.2285,5.738025342,57.8877987,0.982725203,2705,0.726069724
SB181_69,Soybean,18,1,0.2528,5.671023788,57.37725794,0.982571492,2642,0.719737783
SB182_73,Soybean,18,2,0.2706,5.489405912,43.16854078,0.976834983,2773,0.692434914
SB183_77,Soybean,18,3,0.3196,5.713959628,60.47881827,0.983465285,2454,0.732045122
SB184_81,Soybean,18,4,0.2437,5.467076132,44.06798428,0.977307789,2365,0.703746244
SB185_85,Soybean,18,5,0.2461,5.729472869,55.95864063,0.982129659,2789,0.722192899
SB186_89,Soybean,18,6,0.301,5.556356149,54.34526847,0.981599134,2050,0.728645581
